state,year,fertility_rate
Johor,2010,2.13
Johor,2011,2.17
Johor,2012,2.23
Johor,2013,2.11
Johor,2014,2.16
Johor,2015,2.14
Johor,2016,2.09
Johor,2017,2.12
Johor,2018,2.09
Johor,2019,2.05
Johor,2020,1.94
Johor,2021,1.66
Johor,2022,1.59
Kedah,2010,2.58
Kedah,2011,2.61
Kedah,2012,2.6
Kedah,2013,2.42
Kedah,2014,2.47
Kedah,2015,2.41
Kedah,2016,2.31
Kedah,2017,2.31
Kedah,2018,2.2
Kedah,2019,2.09
Kedah,2020,2.03
Kedah,2021,2.03
Kedah,2022,1.83
Kelantan,2010,3.68
Kelantan,2011,3.77
Kelantan,2012,3.6
Kelantan,2013,3.44
Kelantan,2014,3.57
Kelantan,2015,3.42
Kelantan,2016,3.23
Kelantan,2017,3.16
Kelantan,2018,3.0
Kelantan,2019,2.77
Kelantan,2020,2.66
Kelantan,2021,2.83
Kelantan,2022,2.65
Melaka,2010,2.12
Melaka,2011,2.23
Melaka,2012,2.23
Melaka,2013,2.06
Melaka,2014,2.13
Melaka,2015,2.05
Melaka,2016,1.96
Melaka,2017,1.9
Melaka,2018,1.85
Melaka,2019,1.78
Melaka,2020,1.73
Melaka,2021,1.67
Melaka,2022,1.66
Negeri Sembilan,2010,2.27
Negeri Sembilan,2011,2.3
Negeri Sembilan,2012,2.29
Negeri Sembilan,2013,2.2
Negeri Sembilan,2014,2.31
Negeri Sembilan,2015,2.25
Negeri Sembilan,2016,2.17
Negeri Sembilan,2017,2.13
Negeri Sembilan,2018,2.12
Negeri Sembilan,2019,2.0
Negeri Sembilan,2020,1.96
Negeri Sembilan,2021,1.8
Negeri Sembilan,2022,1.72
Pahang,2010,2.47
Pahang,2011,2.5
Pahang,2012,2.48
Pahang,2013,2.38
Pahang,2014,2.49
Pahang,2015,2.39
Pahang,2016,2.29
Pahang,2017,2.24
Pahang,2018,2.15
Pahang,2019,2.01
Pahang,2020,1.94
Pahang,2021,2.18
Pahang,2022,2.1
Perak,2010,2.34
Perak,2011,2.39
Perak,2012,2.35
Perak,2013,2.16
Perak,2014,2.19
Perak,2015,2.13
Perak,2016,2.04
Perak,2017,1.95
Perak,2018,1.85
Perak,2019,1.76
Perak,2020,1.66
Perak,2021,1.81
Perak,2022,1.72
Perlis,2010,2.6
Perlis,2011,2.56
Perlis,2012,2.48
Perlis,2013,2.35
Perlis,2014,2.54
Perlis,2015,2.35
Perlis,2016,2.28
Perlis,2017,2.26
Perlis,2018,2.17
Perlis,2019,1.98
Perlis,2020,1.96
Perlis,2021,1.92
Perlis,2022,1.68
Pulau Pinang,2010,1.56
Pulau Pinang,2011,1.62
Pulau Pinang,2012,1.7
Pulau Pinang,2013,1.48
Pulau Pinang,2014,1.56
Pulau Pinang,2015,1.49
Pulau Pinang,2016,1.44
Pulau Pinang,2017,1.39
Pulau Pinang,2018,1.32
Pulau Pinang,2019,1.28
Pulau Pinang,2020,1.25
Pulau Pinang,2021,1.23
Pulau Pinang,2022,1.17
Sabah,2010,1.84
Sabah,2011,1.81
Sabah,2012,1.84
Sabah,2013,1.68
Sabah,2014,1.66
Sabah,2015,1.55
Sabah,2016,1.44
Sabah,2017,1.43
Sabah,2018,1.43
Sabah,2019,1.41
Sabah,2020,1.33
Sabah,2021,1.39
Sabah,2022,1.44
Sarawak,2010,2.18
Sarawak,2011,2.23
Sarawak,2012,2.16
Sarawak,2013,1.95
Sarawak,2014,1.96
Sarawak,2015,1.86
Sarawak,2016,1.74
Sarawak,2017,1.69
Sarawak,2018,1.62
Sarawak,2019,1.59
Sarawak,2020,1.53
Sarawak,2021,1.59
Sarawak,2022,1.56
Selangor,2010,1.91
Selangor,2011,1.96
Selangor,2012,2.0
Selangor,2013,1.82
Selangor,2014,1.86
Selangor,2015,1.81
Selangor,2016,1.73
Selangor,2017,1.7
Selangor,2018,1.67
Selangor,2019,1.57
Selangor,2020,1.57
Selangor,2021,1.54
Selangor,2022,1.46
Terengganu,2010,3.48
Terengganu,2011,3.46
Terengganu,2012,3.49
Terengganu,2013,3.32
Terengganu,2014,3.38
Terengganu,2015,3.36
Terengganu,2016,3.24
Terengganu,2017,3.16
Terengganu,2018,3.11
Terengganu,2019,2.9
Terengganu,2020,2.86
Terengganu,2021,3.04
Terengganu,2022,2.88
Kuala Lumpur,2010,1.55
Kuala Lumpur,2011,1.58
Kuala Lumpur,2012,1.65
Kuala Lumpur,2013,1.52
Kuala Lumpur,2014,1.6
Kuala Lumpur,2015,1.5
Kuala Lumpur,2016,1.51
Kuala Lumpur,2017,1.46
Kuala Lumpur,2018,1.47
Kuala Lumpur,2019,1.68
Kuala Lumpur,2020,1.49
Kuala Lumpur,2021,1.21
Kuala Lumpur,2022,1.19
Labuan,2010,1.98
Labuan,2011,2.05
Labuan,2012,2.04
Labuan,2013,2.0
Labuan,2014,2.05
Labuan,2015,2.13
Labuan,2016,1.89
Labuan,2017,1.82
Labuan,2018,1.8
Labuan,2019,1.8
Labuan,2020,1.88
Labuan,2021,1.79
Labuan,2022,1.6
Putrajaya,2010,2.4
Putrajaya,2011,2.65
Putrajaya,2012,2.87
Putrajaya,2013,2.64
Putrajaya,2014,2.85
Putrajaya,2015,2.72
Putrajaya,2016,2.56
Putrajaya,2017,2.56
Putrajaya,2018,2.63
Putrajaya,2019,3.26
Putrajaya,2020,2.78
Putrajaya,2021,1.86
Putrajaya,2022,1.76
